Survived,Pclass,Sex,Fare,Embarked
0,1,1,77.2875,2
0,3,1,8.6542,2
0,3,1,7.925,2
0,3,1,7.8958,2
1,3,0,7.65,2
1,3,1,7.775,2
0,3,1,7.8958,2
1,3,0,24.15,1
0,1,1,52.0,2
0,3,0,14.4542,0
0,3,1,8.05,2
0,3,0,9.825,2
0,3,0,14.4583,0
0,3,1,7.925,2
0,3,1,7.75,1
0,2,1,21.0,2
0,1,1,247.5208,0
0,3,0,31.275,2
0,2,1,73.5,2
0,3,1,8.05,2
0,2,1,30.0708,0
1,2,0,13.0,2
0,1,1,77.2875,2
1,3,1,11.2417,0
0,3,1,7.75,1
1,3,1,7.1417,2
1,3,0,22.3583,0
0,3,1,6.975,2
0,3,1,7.8958,0
0,3,1,7.05,2
0,3,0,14.5,2
1,2,0,26.0,2
0,2,1,13.0,2
0,2,1,15.0458,0
1,1,0,26.2833,2
0,1,1,53.1,2
0,3,1,9.2167,2
0,1,1,79.2,0
0,3,0,15.2458,0
1,3,0,7.75,2
1,3,0,15.85,2
0,3,1,6.75,1
0,2,1,11.5,2
0,2,1,36.75,2
1,3,1,7.7958,2
0,3,0,34.375,2
0,2,1,26.0,2
0,2,1,13.0,2
0,2,1,12.525,2
1,1,0,66.6,2
0,3,1,8.05,2
0,3,1,14.5,2
0,3,1,7.3125,2
0,1,1,61.3792,0
1,3,0,7.7333,1
0,3,1,8.05,2
0,3,1,8.6625,2
0,3,1,69.55,2
0,3,1,16.1,2
1,2,0,15.75,2
0,3,1,7.775,2
0,3,1,8.6625,2
0,3,1,39.6875,2
1,3,1,20.525,2
1,1,0,55.0,2
0,3,0,27.9,2
0,1,1,25.925,2
0,3,1,56.4958,2
0,1,1,33.5,2
0,3,1,29.125,1
1,3,0,11.1333,2
0,3,1,7.925,2
0,1,1,30.6958,0
0,3,1,7.8542,2
0,3,1,25.4667,2
0,1,0,28.7125,0
0,2,1,13.0,2
0,3,1,0.0,2
0,3,0,69.55,2
0,2,1,15.05,0
0,3,1,31.3875,2
1,2,1,39.0,2
1,3,0,22.025,2
0,1,1,50.0,2
1,3,0,15.5,1
1,1,1,26.55,2
0,3,1,15.5,1
0,3,1,7.8958,2
1,2,0,13.0,2
0,2,1,13.0,2
1,3,0,7.8542,2
1,2,1,26.0,2
1,1,0,27.7208,0
1,1,0,146.5208,0
0,3,1,7.75,1
0,3,1,8.4042,2
1,3,0,7.75,1
0,2,0,13.0,2
0,3,1,9.5,2
0,3,1,69.55,2
0,3,1,6.4958,2
0,3,1,7.225,0
1,3,1,8.05,2
0,3,0,10.4625,2
0,3,1,15.85,2
1,3,1,18.7875,0
1,3,0,7.75,1
1,1,1,31.0,0
0,3,1,7.05,2
1,2,0,21.0,2
0,3,1,7.25,2
0,2,1,13.0,2
0,3,1,7.75,1
1,1,0,113.275,0
1,3,0,7.925,2
0,2,1,27.0,2
1,1,0,76.2917,0
0,2,1,10.5,2
1,3,1,8.05,2
0,2,1,13.0,2
0,3,1,8.05,2
0,3,1,7.8958,2
1,1,1,90.0,2
0,3,1,9.35,2
1,2,1,10.5,2
0,3,1,7.25,2
0,2,1,13.0,2
0,3,0,25.4667,2
1,1,0,83.475,2
0,3,1,7.775,2
0,2,1,13.5,2
1,3,0,31.3875,2
0,2,1,10.5,2
0,3,0,7.55,2
0,2,1,26.0,2
1,2,0,26.25,2
0,2,1,10.5,2
0,2,1,12.275,2
0,3,0,14.4542,0
1,3,0,15.5,1
0,2,1,10.5,2
0,3,1,7.125,2
0,3,1,7.225,0
0,1,1,90.0,1
0,3,0,7.775,2
1,2,0,14.5,2
1,1,1,52.5542,2
0,2,1,26.0,2
0,3,1,7.25,2
0,3,0,10.4625,2
0,1,1,26.55,2
0,3,1,16.1,2
0,3,0,20.2125,2
1,3,0,15.2458,0
1,1,0,79.2,0
1,1,0,86.5,2
1,1,0,512.3292,0
1,2,0,26.0,2
0,3,1,7.75,1
1,3,1,31.3875,2
0,1,1,79.65,2
0,1,1,0.0,2
0,3,0,7.75,1
0,2,1,10.5,2
0,3,1,39.6875,2
1,3,1,7.775,2
1,1,0,153.4625,2
1,1,0,135.6333,2
0,1,1,31.0,2
1,3,1,0.0,2
1,2,0,19.5,2
0,1,1,29.7,0
1,3,0,7.75,1
1,1,0,77.9583,2
0,3,0,7.75,2
0,2,1,0.0,2
0,3,1,29.125,1
1,3,0,20.25,2
0,3,1,7.75,1
0,3,1,7.8542,2
0,3,1,9.5,2
1,3,1,8.05,2
0,1,1,26.0,2
0,3,1,8.6625,0
1,3,1,9.5,2
0,3,1,7.8958,2
1,2,1,13.0,2
1,3,0,7.75,1
1,1,0,78.85,2
1,1,0,91.0792,0
0,2,1,12.875,0
0,3,0,8.85,2
0,3,1,7.8958,2
0,1,1,27.7208,0
0,3,1,7.2292,0
0,1,0,151.55,2
1,1,1,30.5,2
1,1,0,247.5208,0
1,3,0,7.75,1
1,3,1,23.25,1
0,3,1,0.0,2
1,2,0,12.35,1
0,3,1,8.05,2
1,1,1,151.55,2
1,1,0,110.8833,0
1,1,0,108.9,0
0,2,1,24.0,0
1,1,0,56.9292,0
1,1,0,83.1583,0
1,1,0,262.375,0
0,2,0,26.0,2
0,3,1,7.8958,2
0,2,1,26.25,2
1,3,0,7.8542,2
1,2,0,26.0,2
0,2,1,14.0,2
1,1,0,164.8667,2
1,1,0,134.5,0
0,3,1,7.25,2
0,3,1,7.8958,2
1,2,0,12.35,1
1,2,0,29.0,2
0,3,1,69.55,2
1,1,0,135.6333,0
0,3,1,6.2375,2
1,2,0,13.0,2
1,3,0,20.525,2
1,1,0,57.9792,0
1,3,0,23.25,1
0,1,1,28.5,2
0,1,1,153.4625,2
0,3,1,18.0,2
1,1,0,133.65,2
0,3,1,7.8958,2
0,1,1,66.6,2
1,1,0,134.5,0
1,3,1,8.05,2
0,1,1,35.5,2
1,2,1,26.0,2
1,1,0,263.0,2
0,2,1,13.0,2
0,2,1,13.0,2
0,2,1,13.0,2
1,2,0,13.0,2
1,2,0,13.0,2
1,3,0,16.1,2
1,3,1,15.9,2
0,3,1,8.6625,2
0,3,1,9.225,2
0,1,1,35.0,2
0,3,1,7.2292,0
0,3,1,17.8,2
0,3,1,7.225,0
0,3,1,9.5,2
1,1,0,55.0,2
0,2,0,13.0,2
1,3,0,7.8792,1
1,3,0,7.8792,1
0,3,1,27.9,2
0,2,1,27.7208,0
0,3,0,14.4542,0
0,3,1,7.05,2
0,3,1,15.5,1
0,3,1,7.25,2
1,1,0,75.25,0
1,3,0,7.2292,0
1,3,0,7.75,1
1,1,0,69.3,0
1,1,1,55.4417,0
0,3,1,6.4958,2
0,3,1,8.05,2
0,1,1,135.6333,0
0,3,0,21.075,2
1,1,0,82.1708,0
1,3,0,7.25,2
0,1,1,211.5,0
0,3,1,4.0125,0
0,3,1,7.775,2
1,1,0,227.525,0
1,3,0,15.7417,0
0,3,1,7.925,2
1,1,0,52.0,2
0,3,1,7.8958,2
0,2,1,73.5,2
0,3,1,46.9,2
1,2,0,13.0,2
0,3,1,7.7292,1
1,2,0,12.0,0
1,1,1,120.0,2
1,3,1,7.7958,2
0,3,1,7.925,2
1,1,0,113.275,0
1,3,0,16.7,2
0,3,1,7.7958,2
0,3,0,7.8542,2
0,2,1,26.0,2
0,2,1,10.5,2
1,2,0,12.65,2
1,3,1,7.925,2
0,3,1,8.05,2
0,3,0,9.825,2
0,3,1,15.85,2
0,3,0,8.6625,2
0,2,1,21.0,2
0,3,1,7.75,2
1,2,1,18.75,2
0,3,1,7.775,2
0,3,0,25.4667,2
0,3,1,7.8958,2
0,3,1,6.8583,1
1,1,0,90.0,1
0,2,1,0.0,2
1,3,1,7.925,2
0,3,0,8.05,2
1,2,0,32.5,2
1,2,0,13.0,2
0,2,1,13.0,2
0,3,0,24.15,2
0,3,1,7.8958,0
0,3,1,7.7333,1
0,3,1,7.875,2
0,3,0,14.4,2
0,3,1,20.2125,2
0,3,1,7.25,2
1,2,0,26.0,2
1,2,0,26.0,2
0,3,1,7.75,1
1,3,1,8.05,2
1,1,1,26.55,2
1,3,0,16.1,2
1,2,0,26.0,2
0,3,1,7.125,2
0,1,1,55.9,2
1,1,0,120.0,2
0,3,0,34.375,2
1,2,0,18.75,2
0,1,1,263.0,2
0,2,1,10.5,2
1,2,0,26.25,2
0,3,1,9.5,2
0,3,1,7.775,2
1,2,0,13.0,2
1,3,1,8.1125,2
1,1,1,81.8583,2
1,2,0,19.5,2
1,1,1,26.55,2
1,3,0,19.2583,0
1,1,1,30.5,2
0,2,1,27.75,2
0,3,1,19.9667,2
0,1,1,27.75,0
1,1,1,89.1042,0
0,3,1,8.05,2
1,3,1,7.8958,0
0,1,1,26.55,2
1,1,0,51.8625,2
1,2,0,10.5,2
0,3,1,7.75,1
1,1,1,26.55,2
0,3,1,8.05,2
0,1,1,38.5,2
0,2,1,13.0,2
0,3,1,8.05,2
0,3,1,7.05,2
0,2,1,0.0,2
0,1,1,26.55,2
0,3,1,7.725,1
1,3,0,19.2583,0
0,3,1,7.25,2
0,3,1,8.6625,2
1,2,0,27.75,2
1,2,0,13.7917,0
0,3,0,9.8375,2
0,1,1,52.0,2
0,2,1,21.0,2
0,3,1,7.0458,2
0,3,1,7.5208,2
1,3,0,12.2875,2
0,3,1,46.9,2
0,2,1,0.0,2
0,3,1,8.05,2
1,3,0,9.5875,2
1,1,1,91.0792,0
0,3,0,25.4667,2
1,1,0,90.0,2
0,1,1,29.7,0
0,3,1,8.05,2
1,3,1,15.9,2
0,3,1,19.9667,2
0,3,1,7.25,2
0,1,1,30.5,2
0,1,1,49.5042,0
0,3,1,8.05,2
0,3,1,14.4583,0
1,1,0,78.2667,0
0,3,1,15.1,2
0,1,0,151.55,2
0,3,1,7.7958,2
0,3,1,8.6625,2
0,3,0,7.75,1
0,3,0,7.6292,1
0,3,0,9.5875,2
1,1,0,86.5,2
0,1,1,108.9,0
1,2,0,26.0,2
1,1,1,26.55,2
0,3,1,22.525,2
1,3,1,56.4958,2
1,3,1,7.75,1
0,3,1,8.05,2
1,1,1,26.2875,2
1,1,0,59.4,0
0,3,1,7.4958,2
0,1,1,34.0208,2
1,2,0,10.5,2
0,3,1,24.15,1
1,2,0,26.0,2
0,3,1,7.8958,2
1,1,0,93.5,2
0,3,1,7.8958,2
0,3,1,7.225,0
1,1,0,57.9792,0
0,3,1,7.2292,0
0,3,1,7.75,1
1,2,0,10.5,2
0,1,1,221.7792,2
0,3,1,7.925,2
0,2,1,11.5,2
1,2,0,26.0,2
0,3,1,7.2292,0
0,3,1,7.2292,0
1,3,0,22.3583,0
0,3,0,8.6625,2
1,2,0,26.25,2
0,1,1,26.55,2
1,1,0,106.425,0
0,3,1,14.5,2
1,1,0,49.5,0
1,1,0,71.0,2
0,3,0,31.275,2
0,3,0,31.275,2
1,2,1,26.0,2
0,1,1,106.425,0
0,1,1,26.0,2
1,2,0,26.0,2
1,2,1,13.8625,0
0,3,1,20.525,2
1,2,1,36.75,2
1,1,1,110.8833,0
0,2,1,26.0,2
0,3,1,7.8292,1
1,3,1,7.225,0
1,3,0,7.775,2
0,1,1,26.55,2
1,1,0,39.6,0
0,1,1,227.525,0
1,1,0,79.65,2
1,3,0,17.4,2
0,3,1,7.75,1
0,3,1,7.8958,2
0,2,1,13.5,2
0,3,1,8.05,2
0,3,0,8.05,2
0,3,1,24.15,2
0,3,1,7.8958,2
0,3,0,21.075,2
0,3,1,7.2292,0
1,3,1,7.8542,2
1,2,1,10.5,2
1,1,0,51.4792,2
1,1,1,26.3875,2
1,3,0,7.75,1
0,3,1,8.05,2
0,3,1,14.5,2
1,2,0,13.0,2
1,1,0,55.9,2
0,3,0,14.4583,0
1,3,1,7.925,2
1,2,0,30.0,2
1,1,0,110.8833,0
0,2,1,26.0,2
0,1,1,40.125,0
0,3,1,8.7125,0
1,1,0,79.65,2
0,2,1,15.0,2
1,1,1,79.2,0
0,3,1,8.05,2
0,3,1,8.05,2
0,3,1,7.125,2
1,1,0,78.2667,0
0,3,1,7.25,2
0,3,0,7.75,1
0,2,1,26.0,2
0,3,1,24.15,2
1,2,0,33.0,2
0,3,1,0.0,2
0,3,1,7.225,0
1,1,1,56.9292,0
1,2,0,27.0,2
0,3,1,7.8958,2
0,1,1,42.4,2
0,3,1,8.05,2
1,1,1,26.55,0
0,3,1,15.55,2
0,3,1,7.8958,2
1,1,1,30.5,2
1,2,0,41.5792,0
1,1,0,153.4625,2
0,3,0,31.275,2
0,3,1,7.05,2
1,3,0,15.5,1
0,3,1,7.75,1
0,3,1,8.05,2
1,2,0,65.0,2
0,3,1,14.4,2
0,3,0,16.1,2
1,2,0,39.0,2
0,2,1,10.5,2
0,3,1,14.4542,0
1,1,1,52.5542,2
1,3,1,15.7417,0
0,3,1,7.8542,2
0,3,1,16.1,2
0,1,1,32.3208,2
0,2,1,12.35,1
1,1,0,77.9583,2
0,3,1,7.8958,2
0,3,1,7.7333,1
1,1,1,30.0,2
0,3,1,7.0542,2
1,1,1,30.5,0
0,1,1,0.0,2
0,3,0,27.9,2
1,2,0,13.0,2
0,3,1,7.925,2
0,2,1,26.25,2
0,3,0,39.6875,2
0,3,1,16.1,2
0,3,1,7.8542,2
1,1,0,69.3,0
0,3,0,27.9,2
1,3,1,56.4958,2
1,3,0,19.2583,0
1,1,1,76.7292,0
0,3,1,7.8958,2
1,1,1,35.5,0
0,3,1,7.55,2
1,3,0,7.55,2
0,3,1,7.8958,2
1,2,0,23.0,2
0,3,1,8.4333,2
1,3,0,7.8292,1
0,3,0,6.75,1
0,2,1,73.5,2
0,3,1,7.8958,2
0,3,0,15.5,1
0,2,1,13.0,2
0,1,1,113.275,0
1,1,1,133.65,2
0,3,1,7.225,0
0,1,1,25.5875,2
0,3,1,7.4958,2
1,3,1,7.925,2
0,2,1,73.5,2
0,2,1,13.0,2
0,3,1,7.775,2
0,3,1,8.05,2
1,1,0,52.0,2
1,2,0,39.0,2
0,1,1,52.0,2
0,2,1,10.5,2
1,2,1,13.0,2
0,2,1,0.0,2
0,3,1,7.775,2
0,3,1,8.05,2
1,3,0,9.8417,2
0,3,0,46.9,2
1,1,1,512.3292,0
0,3,0,8.1375,1
1,1,1,76.7292,0
0,3,1,9.225,2
0,3,1,46.9,2
0,2,1,39.0,2
0,2,1,41.5792,0
0,3,1,39.6875,2
0,3,1,10.1708,2
0,3,1,7.7958,2
1,1,0,211.3375,2
1,1,1,57.0,2
1,3,0,13.4167,0
1,3,1,56.4958,2
0,3,1,7.225,0
0,1,1,26.55,2
0,2,1,13.5,2
0,3,1,8.05,2
1,3,0,7.7333,1
0,1,1,110.8833,0
0,3,1,7.65,2
1,1,0,227.525,0
1,1,1,26.2875,2
0,3,0,14.4542,0
0,3,1,7.7417,1
0,3,1,7.8542,2
0,2,1,26.0,2
1,2,0,13.5,2
1,1,1,26.2875,2
1,1,0,151.55,2
1,3,1,15.2458,0
1,1,0,49.5042,0
0,1,1,26.55,2
1,1,1,52.0,2
0,3,1,9.4833,2
0,2,1,13.0,2
0,3,1,7.65,2
1,1,0,227.525,0
1,2,0,10.5,2
0,3,1,15.5,1
0,3,1,7.775,2
1,2,0,33.0,2
0,3,1,7.0542,2
0,2,1,13.0,2
0,2,1,13.0,2
1,1,1,53.1,2
0,3,1,8.6625,2
1,2,0,21.0,2
1,3,0,7.7375,1
0,2,1,26.0,2
0,3,0,7.925,2
1,1,0,211.3375,2
0,3,1,18.7875,0
0,2,1,0.0,2
0,2,1,13.0,2
0,2,1,13.0,2
0,3,1,16.1,2
0,3,0,34.375,2
1,1,1,512.3292,0
0,3,1,7.8958,2
0,3,1,7.8958,2
1,1,1,30.0,2
0,1,1,78.85,2
1,1,0,262.375,0
0,3,1,16.1,2
1,3,1,7.925,2
0,1,1,71.0,2
0,3,1,20.25,2
1,2,0,13.0,2
0,1,1,53.1,2
0,3,1,7.75,1
1,2,0,23.0,2
1,3,1,12.475,2
0,3,1,9.5,2
0,3,1,7.8958,2
1,2,0,65.0,2
1,2,1,14.5,2
0,3,1,7.7958,2
0,2,1,11.5,2
0,3,1,8.05,2
1,1,0,86.5,2
0,3,1,14.5,2
0,3,1,7.125,2
1,3,1,7.2292,0
1,1,0,120.0,2
0,3,1,7.775,2
1,1,0,77.9583,2
0,1,1,39.6,0
0,3,0,7.75,1
0,3,1,24.15,1
0,3,1,8.3625,2
0,3,1,9.5,2
0,3,1,7.8542,2
0,2,0,10.5,2
0,3,1,7.225,0
1,2,0,23.0,2
0,3,1,7.75,2
0,3,1,7.75,1
1,3,0,12.475,2
0,3,1,7.7375,1
1,1,0,211.3375,2
1,3,0,7.2292,0
1,1,0,57.0,2
0,1,1,30.0,2
0,3,1,23.45,2
0,3,1,7.05,2
0,3,1,7.25,2
1,3,0,7.4958,2
0,3,1,29.125,1
1,3,1,20.575,2
0,1,1,79.2,0
0,3,1,7.75,1
0,2,1,26.0,2
0,3,0,69.55,2
0,1,1,30.6958,0
0,3,1,7.8958,2
0,2,1,13.0,2
1,1,0,25.9292,2
1,3,0,8.6833,2
0,3,1,7.2292,0
0,3,0,24.15,2
0,2,1,13.0,2
1,2,0,26.25,2
1,1,1,120.0,2
1,3,1,8.5167,0
1,3,1,6.975,2
0,3,1,7.775,2
0,1,1,0.0,2
0,3,0,7.775,2
0,2,1,13.0,2
1,1,0,53.1,2
0,3,1,7.8875,2
0,3,1,24.15,2
0,2,1,10.5,2
0,3,0,31.275,2
0,3,1,8.05,2
0,1,1,0.0,2
0,3,0,7.925,2
0,2,1,37.0042,0
0,3,1,6.45,2
0,3,1,27.9,2
1,1,0,93.5,2
1,3,1,8.6625,2
0,1,1,0.0,2
1,3,0,12.475,2
0,3,1,39.6875,2
0,3,1,6.95,1
0,3,1,56.4958,2
1,2,1,37.0042,0
1,3,1,7.75,1
1,1,0,80.0,2
1,3,0,14.4542,0
1,2,1,18.75,2
0,3,1,7.2292,0
0,3,1,7.8542,2
0,3,1,8.3,2
1,1,0,83.1583,0
0,3,1,8.6625,2
0,3,1,8.05,2
1,3,1,56.4958,2
1,1,1,29.7,0
0,3,1,7.925,2
0,2,1,10.5,2
1,1,0,31.0,0
0,3,1,6.4375,0
0,3,1,8.6625,2
0,3,1,7.55,2
0,3,1,69.55,2
0,3,1,7.8958,0
0,2,1,33.0,2
1,1,0,89.1042,0
0,3,1,31.275,2
0,3,1,7.775,2
0,3,0,15.2458,0
1,1,0,39.4,2
0,2,0,26.0,2
1,3,0,9.35,2
1,1,0,164.8667,2
1,1,1,26.55,2
1,3,0,19.2583,0
0,3,1,7.2292,0
0,3,1,14.1083,2
0,2,1,11.5,2
1,1,0,25.9292,2
0,3,0,69.55,2
0,2,1,13.0,2
1,2,0,13.0,2
1,2,0,13.8583,0
0,1,1,50.4958,2
0,3,1,9.5,2
1,3,1,11.1333,2
0,3,1,7.8958,2
1,1,0,52.5542,2
0,1,1,5.0,2
0,3,1,9.0,2
1,2,0,24.0,0
1,3,0,7.225,0
0,3,1,9.8458,2
0,3,1,7.8958,2
0,3,1,7.8958,2
1,1,0,83.1583,0
1,2,0,26.0,2
0,3,1,7.8958,2
0,3,0,10.5167,2
0,2,1,10.5,2
0,3,1,7.05,2
0,3,0,29.125,1
0,2,1,13.0,2
1,1,0,30.0,2
0,3,0,23.45,2
1,1,1,30.0,0
0,3,1,7.75,1
